gameId,playId,snap_frame
2018090600,366,11
2018090600,872,11
2018090600,973,11
2018090600,1850,11
2018090600,1989,11
2018090600,2406,11
2018090600,2599,11
2018090600,3026,11
2018090600,3225,11
2018090600,3736,11
2018090600,3868,11
2018090900,485,11
2018090900,575,11
2018090900,674,11
2018090900,1136,11
2018090900,1360,11
2018090900,1772,11
2018090900,2097,11
2018090900,2996,11
2018090900,3079,11
2018090900,3655,11
2018090900,3851,11
2018090900,4325,11
2018090900,4464,11
2018090901,118,11
2018090901,313,11
2018090901,474,11
2018090901,588,11
2018090901,887,11
2018090901,1491,11
2018090901,1723,11
2018090901,2632,11
2018090901,2907,11
2018090901,3215,11
2018090901,3349,11
2018090901,3463,11
2018090901,3960,11
2018090901,4136,11
2018090901,4352,11
2018090901,4648,11
2018090901,4833,11
2018090901,4965,11
2018090902,2228,11
2018090902,2340,11
2018090902,3547,11
2018090903,407,11
2018090903,1257,11
2018090903,1844,11
2018090903,1993,11
2018090903,2094,11
2018090903,2176,11
2018090903,3163,11
2018090903,3982,11
2018090905,114,11
2018090905,359,11
2018090905,497,11
2018090905,1555,11
2018090905,1735,11
2018090905,1992,11
2018090905,2393,11
2018090905,3669,11
2018090905,3749,11
2018090905,3844,11
2018090905,4311,11
2018090906,1373,11
2018090906,2681,11
2018090906,2776,11
2018090906,2947,11
2018090907,522,1
2018090907,1340,11
2018090907,2357,11
2018090907,2578,11
2018090907,2708,11
2018090907,2877,11
2018090907,3105,11
2018090907,3215,11
2018090907,3497,11
2018090907,3618,11
2018090907,3801,11
2018090907,4113,9
2018090909,309,11
2018090909,501,11
2018090909,918,11
2018090909,1416,11
2018090909,1990,11
2018090909,2106,11
2018090909,2247,11
2018090909,2663,11
2018090909,3706,11
2018090910,172,11
2018090910,700,11
2018090910,966,11
2018090910,1047,11
2018090910,1329,11
2018090910,1448,11
2018090910,1582,11
2018090910,2269,11
2018090910,2467,11
2018090910,2550,11
2018090910,3477,11
2018090910,3866,11
2018090912,170,11
2018090912,583,11
2018090912,943,11
2018090912,1055,11
2018090912,1149,11
2018090912,1577,11
2018090912,2562,11
2018090912,2892,11
2018091000,349,11
2018091000,469,11
2018091000,1407,11
2018091000,1545,11
2018091000,2626,11
2018091000,3527,11
2018091001,384,11
2018091001,499,11
2018091001,2597,11
2018091001,2761,11
2018091001,2840,11
2018091001,3121,11
2018091300,122,11
2018091300,304,11
2018091300,759,11
2018091300,1023,11
2018091300,2465,11
2018091300,2960,11
2018091300,3261,11
2018091300,3552,11
2018091300,3854,11
2018091600,773,11
2018091600,1638,11
2018091600,2116,11
2018091600,2551,11
2018091600,2741,11
2018091600,3530,11
2018091600,3830,11
2018091601,121,11
2018091601,205,10
2018091601,426,11
2018091601,1289,11
2018091601,2485,11
2018091601,2813,11
2018091601,3005,11
2018091601,3210,11
2018091601,3533,1
2018091602,223,11
2018091602,1091,11
2018091602,1198,11
2018091602,1330,11
2018091602,1446,11
2018091602,2412,11
2018091602,2502,11
2018091602,4457,11
2018091603,129,11
2018091603,971,11
2018091603,1907,11
2018091603,2107,11
2018091603,2658,11
2018091603,3326,11
2018091603,3415,11
2018091604,138,11
2018091604,303,11
2018091604,423,11
2018091604,815,11
2018091604,909,11
2018091604,1017,11
2018091604,1206,2
2018091604,1549,11
2018091604,2528,11
2018091604,2659,11
2018091604,3295,11
2018091605,145,11
2018091605,373,11
2018091605,1452,11
2018091605,1943,11
2018091605,3318,11
2018091605,3712,11
2018091605,4008,11
2018091606,182,11
2018091606,340,11
2018091606,593,11
2018091606,741,11
2018091606,1028,11
2018091606,1210,11
2018091606,1757,11
2018091606,2649,11
2018091606,2807,11
2018091606,3523,11
2018091606,4125,11
2018091607,1227,11
2018091607,1334,11
2018091607,1567,11
2018091607,2092,11
2018091607,2357,11
2018091607,2458,11
2018091607,2794,11
2018091607,3329,11
2018091608,454,11
2018091608,541,11
2018091608,726,11
2018091608,1534,11
2018091608,1636,11
2018091608,1960,11
2018091608,2073,11
2018091608,2536,11
2018091608,2884,11
2018091608,3900,11
2018091609,280,11
2018091609,460,11
2018091609,669,11
2018091609,783,11
2018091609,1057,11
2018091609,1552,11
2018091609,2032,11
2018091609,2352,11
2018091609,2691,11
2018091609,2928,11
2018091610,249,11
2018091610,1306,11
2018091610,1440,11
2018091610,1855,11
2018091610,1960,11
2018091610,2919,11
2018091610,3136,11
2018091610,3362,11
2018091610,3871,11
2018091610,4585,11
2018091611,378,11
2018091611,510,11
2018091611,595,11
2018091611,698,11
2018091611,797,11
2018091611,1273,11
2018091611,1355,11
2018091611,3747,11
2018091612,568,11
2018091612,963,10
2018091612,1138,11
2018091612,2450,11
2018091612,2899,11
2018091612,3372,11
2018091612,3460,11
2018091613,300,11
2018091613,611,11
2018091613,778,11
2018091613,915,11
2018091613,1035,11
2018091613,1339,11
2018091613,1575,11
2018091613,1811,11
2018091613,2608,11
2018091613,2715,11
2018091700,227,11
2018091700,735,11
2018091700,949,11
2018091700,1108,11
2018091700,1238,11
2018091700,1507,11
2018091700,2286,11
2018091700,2401,11
2018091700,2606,11
2018091700,2742,11
2018091700,3513,11
2018091700,3889,11
2018092000,116,11
2018092000,202,11
2018092000,370,11
2018092000,453,11
2018092000,542,11
2018092000,680,11
2018092000,801,11
2018092000,1061,11
2018092000,1722,11
2018092000,1849,11
2018092000,2139,11
2018092000,2359,11
2018092000,2608,11
2018092000,2943,11
2018092000,4219,11
2018092300,382,11
2018092300,477,11
2018092300,1022,11
2018092300,1127,11
2018092300,1435,11
2018092300,1976,11
2018092300,2075,11
2018092300,2602,10
2018092300,4324,11
2018092301,968,11
2018092301,1121,11
2018092301,1207,11
2018092301,1577,11
2018092301,1907,11
2018092301,2126,11
2018092301,2247,11
2018092301,2495,11
2018092301,3243,11
2018092301,3423,11
2018092301,3819,11
2018092302,123,11
2018092302,1884,11
2018092302,2105,11
2018092302,2237,11
2018092302,2932,11
2018092302,3100,11
2018092302,3437,11
2018092303,755,11
2018092303,1215,11
2018092303,1565,11
2018092303,2178,11
2018092303,2467,11
2018092303,2722,11
2018092303,3026,11
2018092304,222,11
2018092304,301,11
2018092304,881,11
2018092304,1035,11
2018092304,1431,11
2018092304,1562,11
2018092304,1670,11
2018092304,1755,11
2018092304,2500,11
2018092304,2716,11
2018092304,3542,11
2018092304,3785,11
2018092305,144,11
2018092305,612,11
2018092305,1467,11
2018092305,1955,11
2018092305,2775,11
2018092305,3119,11
2018092306,250,11
2018092306,783,11
2018092306,929,11
2018092306,1038,11
2018092306,1882,11
2018092306,2084,11
2018092306,2776,11
2018092306,2945,11
2018092306,3156,11
2018092307,811,11
2018092307,1345,11
2018092307,1707,11
2018092307,2036,11
2018092307,2371,11
2018092307,2461,11
2018092307,2812,11
2018092307,2923,11
2018092307,3014,11
2018092307,3483,11
2018092307,4081,11
2018092308,150,11
2018092308,569,11
2018092308,1173,11
2018092308,1329,11
2018092308,1847,11
2018092308,2129,11
2018092308,2966,11
2018092308,4183,11
2018092309,297,11
2018092309,394,11
2018092309,494,11
